Original ID,Original Name,Replacement Name,Score,GIF URL,Target Muscles,Equipment,Alternatives
67,"Fire Hydrant","push-up inside leg kick",80.0,"https://static.exercisedb.dev/media/0br45wL.gif","glutes","body weight","arms apart circular toe touch (male)(80); single leg bridge with outstretched leg(80); curtsey squat(80)"
69,"Clamshell","push-up inside leg kick",80.0,"https://static.exercisedb.dev/media/0br45wL.gif","glutes","body weight","arms apart circular toe touch (male)(80); single leg bridge with outstretched leg(80); curtsey squat(80)"
71,"Farmer's Carry","dumbbell single arm overhead carry",105.0,"https://static.exercisedb.dev/media/mWBtgmb.gif","delts","dumbbell","dumbbell standing alternate raise(73); dumbbell incline t-raise(65); dumbbell full can lateral raise(65)"
83,"Kettlebell Halo","kettlebell two arm clean",105.0,"https://static.exercisedb.dev/media/7Ba7bQ2.gif","delts","kettlebell","kettlebell alternating press(98); kettlebell double windmill(98); kettlebell one arm jerk(98)"
85,"Kettlebell Snatch","kettlebell one arm snatch",245.0,"https://static.exercisedb.dev/media/aXcUyKb.gif","delts","kettlebell","kettlebell double snatch(245); barbell one arm snatch(155); dumbbell one arm snatch(120)"
86,"Kettlebell Farmer's Carry","kettlebell two arm clean",99.2,"https://static.exercisedb.dev/media/7Ba7bQ2.gif","delts","kettlebell","kettlebell one arm snatch(92); kettlebell pirate supper legs(92); kettlebell double snatch(92)"
96,"Wall Angels","one arm against wall",70.0,"https://static.exercisedb.dev/media/ZZTGMKh.gif","lats","body weight","one arm against wall compressed(70); dumbbell incline t-raise(40); dumbbell single arm overhead carry(40)"
120,"Band Kickback","push-up inside leg kick",145.0,"https://static.exercisedb.dev/media/0br45wL.gif","glutes","body weight","kick out sit(145); exercise ball one legged diagonal kick hamstring curl(145); outside leg kick push-up(145)"
121,"Band Clamshell","band stiff leg deadlift",120.0,"https://static.exercisedb.dev/media/kuMiR2T.gif","glutes","band","band step-up(120); band hip lift(120); resistance band hip thrusts on knees (female)(120)"
123,"Band Tricep Pushdown","band side triceps extension",116.7,"https://static.exercisedb.dev/media/obe5LMq.gif","triceps","band","band close-grip push-up(117); dynamic style band side triceps extension(117); band one arm twisting chest press(87)"
126,"Band Woodchop","band standing crunch",105.0,"https://static.exercisedb.dev/media/Kzg30R7.gif","abs","band","band horizontal pallof press(105); band standing rear delt row(105); band bicycle crunch(105)"
133,"Battle Ropes","battling ropes",75.0,"https://static.exercisedb.dev/media/RJa4tCo.gif","delts","rope","athletic style battling ropes(75); cable kneeling rear delt row (with rope) (male)(50); cable rear delt row (with rope)(50)"
134,"Box Jumps","box jump down with one leg stabilization",95.0,"https://static.exercisedb.dev/media/iPm26QU.gif","calves","body weight","barbell squat jump step rear lunge(65); forward jump(65); backward jump(65)"
135,"Sprint Intervals","wind sprints",45.0,"https://static.exercisedb.dev/media/Qoujh3Q.gif","abs","body weight",""
137,"Shadowboxing","left hook. boxing",95.0,"https://static.exercisedb.dev/media/hoXt6wv.gif","delts","body weight","bottoms-up(65); tuck crunch(65); bodyweight incline side plank(65)"
3,"Glute Bridge","glute bridge two legs on bench (male)",450.0,"https://static.exercisedb.dev/media/aWedzZX.gif","glutes","body weight","glute bridge march(450); low glute bridge on floor(450); barbell glute bridge(400)"
4,"Single-Leg Glute Bridge","glute bridge two legs on bench (male)",450.0,"https://static.exercisedb.dev/media/aWedzZX.gif","glutes","body weight","glute bridge march(450); low glute bridge on floor(450); barbell glute bridge(400)"
19,"Side Plank","bodyweight incline side plank",445.0,"https://static.exercisedb.dev/media/5VXmnV5.gif","abs","body weight","push-up to side plank(445); push-up to side plank - athletic variation(445); side plank hip adduction(410)"
21,"Bird Dog","potty squat",70.0,"https://static.exercisedb.dev/media/75Bgtjy.gif","abs","body weight","side bridge v. 2(70); flutter kicks(70); bridge - mountain climber (cross body)(70)"
23,"Bicycle Crunch","band bicycle crunch",410.0,"https://static.exercisedb.dev/media/tZkGYZ9.gif","abs","band","tuck crunch(220); reverse crunch(220); crunch (hands overhead)(220)"
25,"Dumbbell Romanian Deadlift (RDL)","dumbbell romanian deadlift",430.0,"https://static.exercisedb.dev/media/rR0LJzx.gif","glutes","dumbbell","dumbbell straight leg deadlift(210); dumbbell single leg deadlift with stepbox support(210); dumbbell single leg deadlift(210)"
29,"Dumbbell Single-Leg RDL","dumbbell contralateral forward lunge",110.0,"https://static.exercisedb.dev/media/ecl28tP.gif","glutes","dumbbell","dumbbell single leg squat(110); dumbbell straight leg deadlift(110); dumbbell single leg deadlift with stepbox support(110)"
37,"Dumbbell Bicep Curl","dumbbell bicep curl with stork stance",460.0,"https://static.exercisedb.dev/media/uSkDMYl.gif","biceps","dumbbell","dumbbell bicep curl lunge with bowling motion(460); dumbbell bicep curl on exercise ball with leg raised(460); dumbbell kneeling bicep curl exercise ball(260)"
39,"Dumbbell Overhead Tricep Extension","dumbbell seated reverse grip one arm overhead tricep extension",260.0,"https://static.exercisedb.dev/media/5fKX7wi.gif","triceps","dumbbell","dumbbell lying one arm supinated triceps extension(228); dumbbell lying triceps extension(228); dumbbell standing bent over one arm triceps extension(228)"
40,"Barbell Back Squat","barbell full squat (back pov)",245.0,"https://static.exercisedb.dev/media/DhMl549.gif","glutes","barbell","barbell bench squat(226); barbell overhead squat(226); barbell split squat v. 2(226)"
